year,co2_ppm,source
1850,285.2,law_dome_ice_core
1851,285.1,law_dome_ice_core
1852,285.1,law_dome_ice_core
1853,285.2,law_dome_ice_core
1854,285.4,law_dome_ice_core
1855,285.6,law_dome_ice_core
1856,285.8,law_dome_ice_core
1857,285.9,law_dome_ice_core
1858,286.1,law_dome_ice_core
1859,286.4,law_dome_ice_core
1860,286.7,law_dome_ice_core
1861,287.0,law_dome_ice_core
1862,287.2,law_dome_ice_core
1863,287.5,law_dome_ice_core
1864,287.8,law_dome_ice_core
1865,288.1,law_dome_ice_core
1866,288.4,law_dome_ice_core
1867,288.7,law_dome_ice_core
1868,288.9,law_dome_ice_core
1869,289.2,law_dome_ice_core
1870,289.5,law_dome_ice_core
1871,289.8,law_dome_ice_core
1872,290.1,law_dome_ice_core
1873,290.3,law_dome_ice_core
1874,290.5,law_dome_ice_core
1875,290.7,law_dome_ice_core
1876,290.9,law_dome_ice_core
1877,291.1,law_dome_ice_core
1878,291.4,law_dome_ice_core
1879,291.6,law_dome_ice_core
1880,291.8,law_dome_ice_core
1881,292.0,law_dome_ice_core
1882,292.2,law_dome_ice_core
1883,292.4,law_dome_ice_core
1884,292.6,law_dome_ice_core
1885,292.8,law_dome_ice_core
1886,292.9,law_dome_ice_core
1887,293.0,law_dome_ice_core
1888,293.2,law_dome_ice_core
1889,293.4,law_dome_ice_core
1890,293.7,law_dome_ice_core
1891,294.0,law_dome_ice_core
1892,294.2,law_dome_ice_core
1893,294.4,law_dome_ice_core
1894,294.6,law_dome_ice_core
1895,294.8,law_dome_ice_core
1896,295.1,law_dome_ice_core
1897,295.4,law_dome_ice_core
1898,295.7,law_dome_ice_core
1899,296.0,law_dome_ice_core
1900,296.2,law_dome_ice_core
1901,296.5,law_dome_ice_core
1902,296.7,law_dome_ice_core
1903,296.9,law_dome_ice_core
1904,297.1,law_dome_ice_core
1905,297.3,law_dome_ice_core
1906,297.6,law_dome_ice_core
1907,297.9,law_dome_ice_core
1908,298.1,law_dome_ice_core
1909,298.3,law_dome_ice_core
1910,298.6,law_dome_ice_core
1911,299.0,law_dome_ice_core
1912,299.4,law_dome_ice_core
1913,299.7,law_dome_ice_core
1914,300.0,law_dome_ice_core
1915,300.3,law_dome_ice_core
1916,300.5,law_dome_ice_core
1917,300.7,law_dome_ice_core
1918,300.9,law_dome_ice_core
1919,301.1,law_dome_ice_core
1920,301.4,law_dome_ice_core
1921,301.6,law_dome_ice_core
1922,301.9,law_dome_ice_core
1923,302.1,law_dome_ice_core
1924,302.4,law_dome_ice_core
1925,302.7,law_dome_ice_core
1926,303.0,law_dome_ice_core
1927,303.3,law_dome_ice_core
1928,303.6,law_dome_ice_core
1929,303.9,law_dome_ice_core
1930,304.2,law_dome_ice_core
1931,304.5,law_dome_ice_core
1932,304.8,law_dome_ice_core
1933,305.1,law_dome_ice_core
1934,305.4,law_dome_ice_core
1935,305.7,law_dome_ice_core
1936,306.0,law_dome_ice_core
1937,306.2,law_dome_ice_core
1938,306.5,law_dome_ice_core
1939,306.8,law_dome_ice_core
1940,307.1,law_dome_ice_core
1941,307.3,law_dome_ice_core
1942,307.5,law_dome_ice_core
1943,307.8,law_dome_ice_core
1944,308.0,law_dome_ice_core
1945,308.2,law_dome_ice_core
1946,308.5,law_dome_ice_core
1947,308.7,law_dome_ice_core
1948,308.9,law_dome_ice_core
1949,309.2,law_dome_ice_core
1950,309.5,law_dome_ice_core
1951,309.9,law_dome_ice_core
1952,310.3,law_dome_ice_core
1953,310.7,law_dome_ice_core
1954,311.1,law_dome_ice_core
1955,311.5,law_dome_ice_core
1956,312.0,law_dome_ice_core
1957,312.6,law_dome_ice_core
1958,313.2,law_dome_ice_core
1959,315.98,noaa_mlo
1960,316.91,noaa_mlo
1961,317.64,noaa_mlo
1962,318.45,noaa_mlo
1963,318.99,noaa_mlo
1964,319.62,noaa_mlo
1965,320.04,noaa_mlo
1966,321.37,noaa_mlo
1967,322.18,noaa_mlo
1968,323.05,noaa_mlo
1969,324.62,noaa_mlo
1970,325.68,noaa_mlo
1971,326.32,noaa_mlo
1972,327.46,noaa_mlo
1973,329.68,noaa_mlo
1974,330.19,noaa_mlo
1975,331.13,noaa_mlo
1976,332.03,noaa_mlo
1977,333.84,noaa_mlo
1978,335.41,noaa_mlo
1979,336.84,noaa_mlo
1980,338.76,noaa_mlo
1981,340.12,noaa_mlo
1982,341.48,noaa_mlo
1983,343.15,noaa_mlo
1984,344.87,noaa_mlo
1985,346.35,noaa_mlo
1986,347.61,noaa_mlo
1987,349.31,noaa_mlo
1988,351.69,noaa_mlo
1989,353.2,noaa_mlo
1990,354.45,noaa_mlo
1991,355.7,noaa_mlo
1992,356.54,noaa_mlo
1993,357.21,noaa_mlo
1994,358.96,noaa_mlo
1995,360.97,noaa_mlo
1996,362.74,noaa_mlo
1997,363.88,noaa_mlo
1998,366.84,noaa_mlo
1999,368.54,noaa_mlo
2000,369.71,noaa_mlo
2001,371.32,noaa_mlo
2002,373.45,noaa_mlo
2003,375.98,noaa_mlo
2004,377.7,noaa_mlo
2005,379.98,noaa_mlo
2006,382.09,noaa_mlo
2007,384.02,noaa_mlo
2008,385.83,noaa_mlo
2009,387.64,noaa_mlo
2010,390.1,noaa_mlo
2011,391.85,noaa_mlo
2012,394.06,noaa_mlo
2013,396.74,noaa_mlo
2014,398.81,noaa_mlo
