year,density_per_sq_mi,is_census_year
1925,48.44176372712146,False
1926,52.79386736391727,False
1927,57.14597100071309,False
1928,61.49807463750891,False
1929,65.85017827430472,False
1930,70.20228191110054,True
1931,73.53558355122415,False
1932,76.86888519134774,False
1933,80.20218683147135,False
1934,83.53548847159496,False
1935,86.86879011171857,False
1936,90.20209175184216,False
1937,93.53539339196577,False
1938,96.86869503208936,False
1939,100.20199667221297,False
1940,103.53529831233658,True
1941,106.40263845971,False
1942,109.26997860708343,False
1943,112.13731875445686,False
1944,115.00465890183028,False
1945,117.87199904920371,False
1946,120.73933919657713,False
1947,123.60667934395056,False
1948,126.47401949132399,False
1949,129.3413596386974,False
1950,132.20869978607084,True
1951,143.5424055146185,False
1952,154.87611124316615,False
1953,166.20981697171382,False
1954,177.54352270026146,False
1955,188.87722842880913,False
1956,200.2109341573568,False
1957,211.54463988590447,False
1958,222.87834561445212,False
1959,234.21205134299976,False
1960,245.54575707154743,True
1961,253.26724506774426,False
1962,260.9887330639411,False
1963,268.7102210601379,False
1964,276.4317090563347,False
1965,284.1531970525315,False
1966,291.87468504872834,False
1967,299.59617304492514,False
1968,307.31766104112194,False
1969,315.0391490373188,False
1970,322.7606370335156,True
1971,334.72683622533873,False
1972,346.69303541716187,False
1973,358.659234608985,False
1974,370.6254338008082,False
1975,382.59163299263133,False
1976,394.55783218445447,False
1977,406.5240313762776,False
1978,418.49023056810074,False
1979,430.45642975992394,False
1980,442.4226289517471,True
1981,457.5579748038982,False
1982,472.6933206560494,False
1983,487.8286665082006,False
1984,502.9640123603518,False
1985,518.0993582125029,False
1986,533.2347040646541,False
1987,548.3700499168053,False
1988,563.5053957689565,False
1989,578.6407416211076,False
1990,593.7760874732588,True
1991,601.2830282861896,False
1992,608.7899690991205,False
1993,616.2969099120513,False
1994,623.8038507249821,False
1995,631.310791537913,False
1996,638.8177323508438,False
1997,646.3246731637746,False
1998,653.8316139767054,False
1999,661.3385547896363,False
2000,668.8454956025671,True
2001,675.5362491086285,False
2002,682.2270026146898,False
2003,688.917756120751,False
2004,695.6085096268124,False
2005,702.2992631328738,False
2006,708.9900166389351,False
2007,715.6807701449965,False
2008,722.3715236510577,False
2009,729.0622771571191,False
2010,735.7530306631804,True
2011,735.7530306631804,False
2012,735.7530306631804,False
2013,735.7530306631804,False
2014,735.7530306631804,False
