decade,month,climatology_temp_c
1920,1,10.46356400000002
1920,2,11.178866000000028
1920,3,13.170920000000013
1920,4,14.115948000000037
1920,5,15.95695000000003
1920,6,18.732992000000024
1920,7,23.135864000000016
1920,8,24.120274000000016
1920,9,23.529800000000034
1920,10,19.997162000000014
1920,11,14.111346000000015
1920,12,11.932842000000017
1930,1,10.228363000000025
1930,2,11.73588300000003
1930,3,13.21081500000003
1930,4,14.336764000000034
1930,5,17.11288400000003
1930,6,19.53629700000003
1930,7,23.054914000000018
1930,8,24.044392000000016
1930,9,22.764822000000027
1930,10,19.792684000000026
1930,11,14.547933000000011
1930,12,11.343713000000019
1940,1,10.416001000000017
1940,2,11.989371000000023
1940,3,12.634125000000022
1940,4,14.656057000000022
1940,5,16.700928000000026
1940,6,18.692517000000027
1940,7,22.68915500000001
1940,8,24.598262000000027
1940,9,23.55584600000003
1940,10,18.881972000000026
1940,11,14.029121000000027
1940,12,10.468833000000023
1950,1,11.527431000000012
1950,2,11.827278000000017
1950,3,12.617174000000011
1950,4,14.48835200000002
1950,5,16.661933000000023
1950,6,19.07623600000003
1950,7,22.524344000000024
1950,8,23.921821000000033
1950,9,22.794626000000015
1950,10,20.91451400000002
1950,11,14.087187000000023
1950,12,11.006837000000024
1960,1,10.599366000000026
1960,2,11.677985000000024
1960,3,13.03854600000002
1960,4,13.823169000000025
1960,5,16.42110100000003
1960,6,18.873636000000015
1960,7,22.66311700000002
1960,8,24.016966000000018
1960,9,22.85663400000002
1960,10,18.243011000000035
1960,11,13.414595000000025
1960,12,10.682994000000019
1970,1,10.746426000000032
1970,2,11.383710000000018
1970,3,12.861807000000033
1970,4,14.450345000000027
1970,5,16.229428000000024
1970,6,19.08853700000003
1970,7,22.224644000000023
1970,8,24.079642000000018
1970,9,22.647580000000023
1970,10,19.284469000000023
1970,11,13.284520000000015
1970,12,10.89854900000002
1980,1,9.617640000000033
1980,2,11.246368000000023
1980,3,12.338599000000022
1980,4,14.10257900000002
1980,5,16.105976000000027
1980,6,18.755712000000027
1980,7,22.245299000000028
1980,8,23.251056000000023
1980,9,22.172334000000017
1980,10,19.262676000000027
1980,11,14.263089000000026
1980,12,10.29339300000002
1990,1,10.964331000000021
1990,2,12.222305000000016
1990,3,13.255395000000027
1990,4,13.949192000000021
1990,5,16.816209000000025
1990,6,19.348657000000024
1990,7,22.864309000000027
1990,8,24.21498200000002
1990,9,23.023053000000026
1990,10,18.89315700000002
1990,11,13.525852000000025
1990,12,10.572801000000027
2000,1,10.283770000000015
2000,2,12.13523600000002
2000,3,12.643993000000028
2000,4,14.799380000000019
2000,5,17.227072000000028
2000,6,19.104262000000034
2000,7,23.10160800000002
2000,8,23.977780000000024
2000,9,23.378300000000017
2000,10,19.971284000000026
2000,11,13.894867000000023
2000,12,10.357747000000018
2010,1,10.719844000000023
2010,2,12.064580000000024
2010,3,14.046658000000013
2010,4,15.418136000000015
2010,5,16.631482000000027
2010,6,19.033334000000014
2010,7,22.900602000000028
2010,8,25.12683800000002
2010,9,23.387496000000034
2010,10,19.956282000000023
2010,11,14.119608000000017
2010,12,11.18185400000002
