decade,mean_temp_c,total_precip_mm,temp_std_c
1920,16.703877333333356,1692.50969680416,4.9553108228444716
1930,16.809122000000023,3313.254776771621,4.919963143545355
1940,16.609349000000023,3589.780116437735,5.028391717047604
1950,16.787311083333353,3737.634486542136,4.813472629030231
1960,16.359260000000024,2982.8993572753634,4.851979903860091
1970,16.431638083333358,3597.609587191027,4.855727586655324
1980,16.137893416666692,3386.5350880703327,4.87663901997596
1990,16.637520250000023,3081.3292220012236,4.867958745165444
2000,16.73960825000002,3528.671586633412,5.039222479610609
2010,17.048892833333355,1545.505597095552,4.940673323594497
