year,month,temp_c,precip_mm
1925,1,10.073,2.2455
1925,2,10.6778,77.9217
1925,3,13.2533,17.8976
1925,4,13.7635,42.8439
1925,5,15.8701,44.8995
1925,6,19.5271,3.7829
1925,7,22.8317,1.0442
1925,8,24.3223,0.2822
1925,9,24.6516,1.3341
1925,10,21.062,6.1121
1925,11,13.3311,23.4004
1925,12,10.4651,48.8904
1926,1,8.0972,15.5605
1926,2,10.1567,56.3194
1926,3,12.6422,10.0088
1926,4,14.6658,12.1357
1926,5,14.9041,2.291
1926,6,18.0189,3.8302
1926,7,22.0984,1.738
1926,8,24.3686,0.2074
1926,9,24.1896,6.2107
1926,10,17.9475,22.6024
1926,11,13.3751,40.757
1926,12,12.5659,78.9745
1927,1,11.0337,0.2137
1927,2,11.2027,93.3099
1927,3,13.9349,12.7164
1927,4,14.6794,19.741
1927,5,17.8781,2.9459
1927,6,18.213,2.2824
1927,7,23.3026,0.579
1927,8,23.2798,79.3628
1927,9,23.0868,1.5556
1927,10,20.1741,140.2871
1927,11,15.2289,10.7298
1927,12,12.9873,4.0217
1928,1,12.5352,95.0644
1928,2,12.6292,71.9893
1928,3,13.7781,20.7646
1928,4,12.3721,128.1586
1928,5,14.028,23.7101
1928,6,18.9991,9.1177
1928,7,23.9536,1.8632
1928,8,23.3446,1.7241
1928,9,22.4365,0.7929
1928,10,18.5295,1.8424
1928,11,14.8528,0.0196
1928,12,13.5991,60.1501
1929,1,10.5788,97.2614
1929,2,11.228,32.9369
1929,3,12.2461,87.7893
1929,4,15.099,39.9256
1929,5,17.1043,2.8624
1929,6,18.9068,4.8177
1929,7,23.493,0.5885
1929,8,25.2861,6.725
1929,9,23.2845,0.4635
1929,10,22.2728,49.3151
1929,11,13.7687,25.9947
1929,12,10.0468,39.5972
1930,1,7.8894,112.9951
1930,2,9.1415,119.3047
1930,3,14.9427,1.1063
1930,4,13.7372,71.9946
1930,5,17.0935,9.9584
1930,6,21.1284,2.6837
1930,7,23.7285,2.2208
1930,8,25.0343,1.0787
1930,9,22.7378,8.0174
1930,10,23.1134,3.0724
1930,11,16.5613,0.0393
1930,12,13.2156,2.393
1931,1,10.0486,43.9657
1931,2,13.1161,25.237
1931,3,11.5191,187.9098
1931,4,13.8596,24.2418
1931,5,15.261,48.6305
