year,month,clt_pct,rsds_wm2
1925,1,31.413761,160.94684
1925,2,45.553593,177.76656
1925,3,28.714035,255.10568
1925,4,39.234882,281.4033
1925,5,41.970272,296.9237
1925,6,32.11727,340.5489
1925,7,24.251299,333.66803
1925,8,7.99294,319.1718
1925,9,9.64145,274.59036
1925,10,19.47744,204.7594
1925,11,35.382256,154.01154
1925,12,62.414497,118.94631
1926,1,24.574825,156.9789
1926,2,43.35323,182.2457
1926,3,42.512394,239.91847
1926,4,40.640133,297.19955
1926,5,39.707985,334.4405
1926,6,35.52849,325.9332
1926,7,19.891327,330.56705
1926,8,29.102947,292.9671
1926,9,27.162134,254.65338
1926,10,17.072214,212.01051
1926,11,44.717373,149.08078
1926,12,51.944843,119.97172
1927,1,22.494333,169.6748
1927,2,66.411766,159.59117
1927,3,58.753323,242.49974
1927,4,35.729034,282.40372
1927,5,40.177963,325.92245
1927,6,28.004354,340.9113
1927,7,27.035908,346.61
1927,8,30.414942,283.00455
1927,9,22.960697,262.09366
1927,10,51.791615,169.82455
1927,11,23.56845,169.1674
1927,12,25.99073,149.43013
1928,1,45.749474,132.70668
1928,2,69.36509,164.21603
1928,3,45.693066,228.76697
1928,4,71.80245,233.77106
1928,5,38.19512,305.7736
1928,6,48.18944,321.2477
1928,7,30.929766,318.186
1928,8,31.066978,300.2127
1928,9,9.699594,268.13693
1928,10,15.043719,218.09596
1928,11,26.604338,171.52649
1928,12,70.72758,106.776794
1929,1,59.164696,135.26923
1929,2,34.737434,200.25331
1929,3,64.46624,201.1874
1929,4,43.35131,285.3692
1929,5,51.893257,324.1969
1929,6,27.118612,339.753
1929,7,14.114293,335.3353
1929,8,27.242058,290.9495
1929,9,7.836112,275.53207
1929,10,33.65219,205.18141
1929,11,29.38781,157.79189
1929,12,36.36565,131.45021
1930,1,61.877647,121.984665
1930,2,64.928635,151.285
1930,3,43.848503,241.2079
1930,4,66.47723,234.12964
1930,5,56.596096,289.4663
1930,6,39.87601,337.12567
1930,7,30.403107,319.10928
1930,8,25.495733,293.61182
1930,9,26.168938,255.51947
1930,10,33.623806,202.32904
1930,11,35.70617,163.49278
1930,12,28.690357,141.61157
1931,1,51.893543,132.53441
1931,2,39.64188,194.65932
1931,3,72.34755,177.67548
1931,4,35.00502,288.56644
1931,5,62.09405,275.55814
1931,6,35.82473,317.79855
1931,7,19.424568,348.9661
1931,8,12.303847,313.6796
1931,9,16.947407,270.54208
1931,10,25.734306,205.75096
1931,11,29.330019,162.49168
1931,12,21.264687,145.26448
1932,1,48.011112,139.14737
1932,2,47.635983,175.68713
1932,3,66.1892,204.14284
1932,4,57.68172,258.60733
1932,5,44.652473,309.40524
1932,6,39.431908,330.56644
1932,7,34.65358,324.19666
1932,8,13.992231,301.99878
1932,9,29.545855,259.19986
1932,10,13.687899,222.2957
1932,11,35.913097,157.94798
1932,12,33.81293,137.40947
1933,1,48.8425,131.08015
1933,2,52.10906,160.51239
1933,3,47.913,235.31058
1933,4,55.66425,263.20322
1933,5,46.9612,311.5445
1933,6,30.649174,330.42984
1933,7,28.404245,337.61148
1933,8,14.13549,312.7385
1933,9,11.396553,279.08298
1933,10,35.70735,204.1465
1933,11,48.1269,146.11629
1933,12,43.52795,132.61794
1934,1,40.54409,142.52202
1934,2,52.375416,180.85683
1934,3,43.690628,227.73482
1934,4,41.26407,293.0787
1934,5,40.79088,310.93878
1934,6,36.190113,330.669
1934,7,37.081543,311.14072
1934,8,12.940064,313.1816
1934,9,21.758272,258.79074
1934,10,11.865903,220.70903
1934,11,47.63339,152.12155
1934,12,55.620968,122.77176
1935,1,67.56218,119.16576
1935,2,39.027912,196.51625
1935,3,33.294983,255.05037
1935,4,31.179892,305.15277
1935,5,34.392384,331.67944
1935,6,35.81607,341.686
1935,7,33.686005,324.90314
1935,8,20.383919,301.78802
1935,9,31.826797,259.38446
1935,10,22.96126,212.08511
1935,11,25.940166,167.60748
1935,12,45.880875,132.86479
1936,1,39.11245,154.30594
1936,2,40.399677,196.95085
1936,3,62.775867,205.6894
1936,4,48.446377,287.20493
1936,5,41.856285,319.07242
1936,6,31.60803,343.7943
1936,7,35.06737,315.47925
1936,8,10.519553,317.5513
1936,9,15.427152,272.73624
1936,10,29.057978,216.77281
1936,11,22.789314,167.84935
1936,12,18.952179,148.694
1937,1,40.31331,142.41068
1937,2,31.693665,187.48347
1937,3,38.64117,258.60812
1937,4,57.58708,274.32718
1937,5,47.67168,300.03583
1937,6,38.167126,343.25812
1937,7,25.26572,339.07077
1937,8,24.366577,276.13895
1937,9,20.031878,262.01022
1937,10,25.818018,220.3934
1937,11,35.930035,154.69997
1937,12,30.387749,143.9587
1938,1,67.535416,117.29027
1938,2,49.41273,188.59541
1938,3,55.294033,218.37694
1938,4,51.06599,265.9029
1938,5,50.89676,332.3335
1938,6,37.689945,327.3671
1938,7,29.777979,333.37506
1938,8,20.439953,306.54102
1938,9,19.521982,263.5235
1938,10,24.888824,220.97781
1938,11,18.252413,169.76064
1938,12,50.458862,127.43712
1939,1,38.417934,138.39696
1939,2,67.158554,156.34833
1939,3,46.23222,219.02283
1939,4,48.356327,258.1333
1939,5,42.808994,311.06335
1939,6,29.884092,346.8566
1939,7,29.773638,337.42233
1939,8,16.362736,322.56033
1939,9,20.374687,261.108
1939,10,34.167263,206.73344
1939,11,53.157684,141.92627
1939,12,44.88942,125.0061
1940,1,61.75859,123.538895
1940,2,75.10545,119.651764
1940,3,57.269154,204.14128
1940,4,36.92187,295.74728
1940,5,44.60415,314.46393
1940,6,36.136566,345.40732
1940,7,13.758778,348.22827
1940,8,19.526346,289.84143
1940,9,38.44755,245.63132
1940,10,22.149954,217.44785
1940,11,30.068657,165.7196
1940,12,21.166794,150.65665
1941,1,38.981255,149.94551
1941,2,16.521784,213.96812
1941,3,42.530704,241.05815
1941,4,28.045773,304.93768
1941,5,44.55063,301.9594
1941,6,35.629097,348.1056
1941,7,22.328972,323.7392
1941,8,28.57557,292.9671
1941,9,26.681665,255.23738
1941,10,23.471525,215.77388
1941,11,43.480732,151.73534
1941,12,43.64724,134.50708
1942,1,45.28498,143.2743
1942,2,72.806404,175.46494
1942,3,58.871693,208.49753
1942,4,58.77961,265.41034
1942,5,36.04776,323.18427
1942,6,31.046171,342.40027
1942,7,24.638735,328.2314
1942,8,34.49791,298.9611
1942,9,29.600548,249.35838
1942,10,45.500183,186.65193
1942,11,38.410954,153.47362
1942,12,33.368835,136.04614
1943,1,54.89098,132.70946
1943,2,50.500835,161.27127
1943,3,55.76054,200.43427
1943,4,39.855392,278.33994
1943,5,38.611744,313.35364
1943,6,37.822056,339.35062
1943,7,27.231085,327.28363
1943,8,27.147316,296.6905
1943,9,16.18742,258.3101
1943,10,39.104797,194.29301
1943,11,47.0894,143.24841
1943,12,45.809788,128.65475
1944,1,58.336037,127.11104
1944,2,44.649952,171.52151
1944,3,47.402767,232.74117
1944,4,59.012127,234.47653
1944,5,33.412914,322.1898
1944,6,46.65569,338.4132
1944,7,28.808544,327.50854
1944,8,27.48858,305.46912
1944,9,19.49451,265.2097
1944,10,22.7269,217.57114
1944,11,26.572819,171.88116
1944,12,29.196835,144.9732
1945,1,33.863148,157.66116
1945,2,58.181637,173.4248
1945,3,30.806437,253.91623
1945,4,34.596497,283.7273
1945,5,50.770996,321.61267
1945,6,23.333387,338.4508
1945,7,18.171856,337.99875
1945,8,14.988643,315.3139
1945,9,17.584497,271.60944
1945,10,15.120071,222.80151
1945,11,22.825941,162.53746
1945,12,61.706554,116.099915
1946,1,32.159447,146.82858
1946,2,23.762259,205.67067
1946,3,39.359608,237.98085
1946,4,52.292164,284.45276
1946,5,52.277752,301.57797
1946,6,32.255375,344.62393
1946,7,14.238775,331.08362
1946,8,15.02924,313.09686
1946,9,14.975807,263.9162
