height,lat_x,lon_x,tas_k,lat_y,lon_y,pr_flux,year,month
2.0,32.5,243.12500000000003,283.08655,32.5,243.12500000000003,1.5343381e-05,1850,1
2.0,32.5,243.12500000000003,284.45667,32.5,243.12500000000003,4.3557975e-05,1850,2
2.0,32.5,243.12500000000003,285.97232,32.5,243.12500000000003,1.2520195e-05,1850,3
2.0,32.5,243.12500000000003,288.7974,32.5,243.12500000000003,1.2009729e-05,1850,4
2.0,32.5,243.12500000000003,289.54782,32.5,243.12500000000003,5.907466e-06,1850,5
2.0,32.5,243.12500000000003,291.5019,32.5,243.12500000000003,3.6895592e-06,1850,6
2.0,32.5,243.12500000000003,295.92758,32.5,243.12500000000003,4.7311514e-07,1850,7
2.0,32.5,243.12500000000003,297.7704,32.5,243.12500000000003,1.1655773e-07,1850,8
2.0,32.5,243.12500000000003,296.2427,32.5,243.12500000000003,1.750284e-07,1850,9
2.0,32.5,243.12500000000003,292.34216,32.5,243.12500000000003,5.8229887e-08,1850,10
2.0,32.5,243.12500000000003,286.06305,32.5,243.12500000000003,2.4898687e-05,1850,11
2.0,32.5,243.12500000000003,280.67194,32.5,243.12500000000003,1.09882185e-05,1850,12
2.0,32.5,243.12500000000003,283.20703,32.5,243.12500000000003,1.3806195e-05,1851,1
2.0,32.5,243.12500000000003,286.03647,32.5,243.12500000000003,7.094866e-06,1851,2
2.0,32.5,243.12500000000003,285.5574,32.5,243.12500000000003,2.1960874e-05,1851,3
2.0,32.5,243.12500000000003,289.10495,32.5,243.12500000000003,2.8207253e-06,1851,4
2.0,32.5,243.12500000000003,288.7993,32.5,243.12500000000003,2.2367453e-06,1851,5
2.0,32.5,243.12500000000003,290.90552,32.5,243.12500000000003,8.681398e-07,1851,6
2.0,32.5,243.12500000000003,296.99887,32.5,243.12500000000003,1.2510303e-06,1851,7
2.0,32.5,243.12500000000003,297.85983,32.5,243.12500000000003,6.858359e-07,1851,8
2.0,32.5,243.12500000000003,294.1038,32.5,243.12500000000003,2.8110906e-06,1851,9
