year,season,mean_temp_c
1925,Fall,19.681573333333347
1925,Spring,14.295616666666698
1925,Summer,22.22701333333335
1925,Winter,10.405280000000024
1926,Fall,18.504073333333356
1926,Spring,14.070723333333357
1926,Summer,21.49531333333336
1926,Winter,10.273256666666688
1927,Fall,19.496610000000032
1927,Spring,15.497490000000028
1927,Summer,21.598466666666695
1927,Winter,11.741243333333367
1928,Fall,18.606256666666678
1928,Spring,13.39272333333336
1928,Summer,22.09911333333334
1928,Winter,12.921160000000024
1929,Fall,19.77533333333336
1929,Spring,14.816476666666688
1929,Summer,22.56197666666668
1929,Winter,10.61784666666667
1930,Fall,20.8041866666667
1930,Spring,15.257796666666687
1930,Summer,23.297083333333358
1930,Winter,10.082166666666694
1931,Fall,18.50860000000004
1931,Spring,13.546566666666687
1931,Summer,21.88310000000003
1931,Winter,11.189530000000028
1932,Fall,19.932336666666686
1932,Spring,15.328546666666702
1932,Summer,22.81172000000002
1932,Winter,12.016280000000014
1933,Fall,18.32406000000003
1933,Spring,16.060630000000042
1933,Summer,23.214103333333355
1933,Winter,10.966720000000029
1934,Fall,19.740400000000005
1934,Spring,15.189023333333372
1934,Summer,22.727136666666677
1934,Winter,10.61462666666669
1935,Fall,18.86348
1935,Spring,14.888673333333353
1935,Summer,21.545516666666703
1935,Winter,11.008313333333357
1936,Fall,17.324783333333357
1936,Spring,15.19704333333336
1936,Summer,21.596420000000006
1936,Winter,12.895310000000032
1937,Fall,19.514693333333355
1937,Spring,14.075330000000045
1937,Summer,21.39689000000004
1937,Winter,10.430353333333358
1938,Fall,20.17982333333335
1938,Spring,15.181226666666703
1938,Summer,22.229963333333348
1938,Winter,12.386376666666687
1939,Fall,17.159100000000024
1939,Spring,14.143373333333367
1939,Summer,21.416743333333347
1939,Winter,9.436853333333355
1940,Fall,18.84113000000002
1940,Spring,13.803390000000016
1940,Summer,22.57604333333336
1940,Winter,10.624366666666694
1941,Fall,20.67737333333336
1941,Spring,16.313553333333363
1941,Summer,22.47482666666669
1941,Winter,11.813716666666684
1942,Fall,18.3708966666667
1942,Spring,14.734856666666682
1942,Summer,21.74934333333336
1942,Winter,10.851730000000012
1943,Fall,19.310290000000027
1943,Spring,14.182366666666686
1943,Summer,23.063480000000027
1943,Winter,9.612236666666698
1944,Fall,18.61633333333337
1944,Spring,13.836076666666694
1944,Summer,21.446660000000026
1944,Winter,10.942700000000002
1945,Fall,18.115446666666685
1945,Spring,15.211723333333376
1945,Summer,21.458956666666683
1945,Winter,10.019076666666686
1946,Fall,18.113296666666674
1946,Spring,14.48798000000003
1946,Summer,22.509010000000007
1946,Winter,10.32524333333337
1947,Fall,19.935203333333373
1947,Spring,15.889223333333348
1947,Summer,21.922876666666696
1947,Winter,11.379306666666688
1948,Fall,18.89173333333336
1948,Spring,14.433993333333357
1948,Summer,21.655040000000003
1948,Winter,12.584813333333349
1949,Fall,17.351426666666708
