scenario,month,temp_c,precip_mm,clt_pct,temp_c_std,precip_mm_std,clt_pct_std
present_2005_2014,1,10.4852,64.4065,52.1826,1.2656,41.1312,9.751
present_2005_2014,2,12.1703,60.9891,53.8773,1.0455,54.073,13.2877
present_2005_2014,3,13.2478,45.926,48.718,1.3766,42.6887,13.4375
present_2005_2014,4,15.0557,21.6136,46.8857,1.084,14.3318,9.9461
present_2005_2014,5,17.2775,6.4967,41.0893,1.0008,6.7247,9.5226
present_2005_2014,6,19.1926,3.2402,32.2202,1.0696,2.8089,6.416
present_2005_2014,7,22.7876,0.7642,22.0443,0.9001,0.4394,10.1845
present_2005_2014,8,24.4079,25.6807,29.6148,1.5161,26.8844,11.845
present_2005_2014,9,23.795,17.2207,20.3629,0.9564,27.0948,8.0914
present_2005_2014,10,19.7272,6.6584,23.875,1.0771,9.8071,6.6952
present_2005_2014,11,14.2617,28.1454,34.2207,0.7896,27.9669,11.3618
present_2005_2014,12,10.8397,32.7876,40.8058,2.1988,29.9287,14.1606
ssp126_2091_2100,1,12.1975,68.2819,45.5731,1.3298,54.02,9.7548
ssp126_2091_2100,2,12.7068,69.5142,53.6246,0.8698,38.9603,7.437
ssp126_2091_2100,3,13.6301,34.7388,48.5672,0.883,32.636,6.5609
ssp126_2091_2100,4,15.1423,42.6727,45.1874,1.5836,44.607,10.5746
ssp126_2091_2100,5,17.1979,17.6234,43.5409,1.1392,12.4139,7.119
ssp126_2091_2100,6,20.2553,2.9067,39.4787,0.9199,1.0741,5.4193
ssp126_2091_2100,7,23.6942,1.7924,27.0884,0.7955,1.5074,6.4144
ssp126_2091_2100,8,25.8286,1.8459,18.9335,1.0578,2.171,5.8898
ssp126_2091_2100,9,24.233,3.959,27.6665,1.5042,3.8124,8.448
ssp126_2091_2100,10,21.904,8.8699,22.178,0.7776,13.6414,5.9862
ssp126_2091_2100,11,16.0702,17.0766,30.2319,1.4651,16.2631,6.6411
ssp126_2091_2100,12,12.0164,62.3911,41.8861,1.0298,62.7069,11.8972
ssp245_2091_2100,1,12.7109,34.0385,41.7412,1.0154,40.0957,12.4357
ssp245_2091_2100,2,13.8468,95.7889,50.5733,1.3406,83.321,11.6794
ssp245_2091_2100,3,14.9262,35.0287,44.0395,0.8085,37.4801,14.6628
ssp245_2091_2100,4,15.8982,18.2459,37.5157,1.1143,9.9509,8.9171
ssp245_2091_2100,5,17.7495,9.4527,40.7504,1.0201,8.9335,6.6678
ssp245_2091_2100,6,21.1469,2.7076,37.1358,1.0942,1.8926,8.6233
ssp245_2091_2100,7,24.0532,1.2036,29.4468,1.0244,0.5686,11.8345
ssp245_2091_2100,8,26.256,0.6226,23.1635,1.1196,0.4113,6.8828
ssp245_2091_2100,9,25.7226,24.5291,26.682,1.7615,49.4298,11.9022
ssp245_2091_2100,10,23.0507,9.5813,23.6615,1.8463,18.0776,10.9588
ssp245_2091_2100,11,17.2098,12.0181,25.6632,1.5781,18.3173,6.8647
ssp245_2091_2100,12,12.6393,32.6738,33.0046,1.155,28.3593,13.1641
ssp370_2091_2100,1,13.1318,54.1019,40.9818,1.5403,61.2441,9.1298
ssp370_2091_2100,2,14.3476,103.8877,54.6596,0.9883,62.3227,11.0568
ssp370_2091_2100,3,15.0465,60.0042,43.4827,0.7168,50.4375,12.043
ssp370_2091_2100,4,17.5165,11.7952,42.3044,1.2248,9.5963,6.4289
ssp370_2091_2100,5,18.9782,9.2265,44.0895,1.0262,7.5963,6.3846
ssp370_2091_2100,6,22.0796,1.8176,32.8735,1.2916,1.1994,4.9031
ssp370_2091_2100,7,25.197,2.413,34.2496,1.0954,3.6791,10.0784
ssp370_2091_2100,8,27.0046,0.6179,32.8826,0.9872,0.3142,4.0721
ssp370_2091_2100,9,26.0145,12.8946,34.4219,1.3894,18.2388,13.2377
ssp370_2091_2100,10,24.295,11.5715,27.1315,1.8287,15.5167,8.7265
ssp370_2091_2100,11,17.9959,19.2606,27.1604,1.2233,32.3552,8.324
ssp370_2091_2100,12,13.4614,56.8175,41.1644,1.3854,37.4321,10.0045
ssp585_2091_2100,1,14.3498,108.1697,53.2568,1.0849,94.0917,13.1693
ssp585_2091_2100,2,14.472,79.1143,47.6345,1.8781,40.6136,9.7881
ssp585_2091_2100,3,15.459,31.0395,33.0989,1.0516,26.9449,9.8863
ssp585_2091_2100,4,17.4082,20.6386,44.8544,1.3905,21.2155,11.7561
ssp585_2091_2100,5,20.0003,12.1678,45.5158,1.4116,16.0182,7.7901
ssp585_2091_2100,6,22.1315,4.0784,45.7444,0.6782,4.7679,11.7801
ssp585_2091_2100,7,25.7069,1.5062,39.2383,1.2061,1.2876,10.3052
ssp585_2091_2100,8,28.3346,0.4818,35.1142,0.9366,0.2242,7.8629
ssp585_2091_2100,9,26.0644,29.4262,34.2155,1.2455,45.6647,9.0258
ssp585_2091_2100,10,24.2078,18.6722,29.776,1.4653,28.1989,9.8175
ssp585_2091_2100,11,18.7711,24.8486,24.9396,1.5593,32.4509,8.7117
ssp585_2091_2100,12,14.4554,10.7635,34.8932,1.2578,9.8084,7.9352
