lat,lon,zos_m,year,month
32.5,242.49999999999997,0.20303833,1850,1
32.5,242.49999999999997,0.19438246,1850,2
32.5,242.49999999999997,0.17561485,1850,3
32.5,242.49999999999997,0.15944186,1850,4
32.5,242.49999999999997,0.15322176,1850,5
32.5,242.49999999999997,0.16046952,1850,6
32.5,242.49999999999997,0.16155747,1850,7
32.5,242.49999999999997,0.17232431,1850,8
32.5,242.49999999999997,0.18292218,1850,9
32.5,242.49999999999997,0.16132374,1850,10
32.5,242.49999999999997,0.1636764,1850,11
32.5,242.49999999999997,0.14552367,1850,12
32.5,242.49999999999997,0.17010666,1851,1
32.5,242.49999999999997,0.18069157,1851,2
32.5,242.49999999999997,0.16949767,1851,3
32.5,242.49999999999997,0.18510701,1851,4
32.5,242.49999999999997,0.16505256,1851,5
32.5,242.49999999999997,0.17052922,1851,6
32.5,242.49999999999997,0.17537332,1851,7
32.5,242.49999999999997,0.16772926,1851,8
32.5,242.49999999999997,0.15877607,1851,9
32.5,242.49999999999997,0.17530832,1851,10
32.5,242.49999999999997,0.14691137,1851,11
32.5,242.49999999999997,0.14943379,1851,12
32.5,242.49999999999997,0.15331957,1852,1
32.5,242.49999999999997,0.1584379,1852,2
32.5,242.49999999999997,0.15652588,1852,3
32.5,242.49999999999997,0.14142402,1852,4
32.5,242.49999999999997,0.15385787,1852,5
32.5,242.49999999999997,0.16203669,1852,6
32.5,242.49999999999997,0.1942906,1852,7
32.5,242.49999999999997,0.21108197,1852,8
32.5,242.49999999999997,0.22356182,1852,9
32.5,242.49999999999997,0.22983645,1852,10
32.5,242.49999999999997,0.23785326,1852,11
32.5,242.49999999999997,0.21722955,1852,12
32.5,242.49999999999997,0.22201689,1853,1
32.5,242.49999999999997,0.21553782,1853,2
32.5,242.49999999999997,0.18920459,1853,3
32.5,242.49999999999997,0.17857385,1853,4
32.5,242.49999999999997,0.1781367,1853,5
32.5,242.49999999999997,0.16421296,1853,6
32.5,242.49999999999997,0.17537995,1853,7
32.5,242.49999999999997,0.17844583,1853,8
32.5,242.49999999999997,0.18650353,1853,9
32.5,242.49999999999997,0.20367211,1853,10
32.5,242.49999999999997,0.158603,1853,11
32.5,242.49999999999997,0.15346976,1853,12
32.5,242.49999999999997,0.15905122,1854,1
32.5,242.49999999999997,0.16561247,1854,2
32.5,242.49999999999997,0.14511853,1854,3
32.5,242.49999999999997,0.13100825,1854,4
32.5,242.49999999999997,0.12058634,1854,5
32.5,242.49999999999997,0.13511084,1854,6
32.5,242.49999999999997,0.14517747,1854,7
32.5,242.49999999999997,0.14443542,1854,8
32.5,242.49999999999997,0.13866149,1854,9
32.5,242.49999999999997,0.13122746,1854,10
32.5,242.49999999999997,0.1135757,1854,11
32.5,242.49999999999997,0.1429653,1854,12
32.5,242.49999999999997,0.15843306,1855,1
32.5,242.49999999999997,0.17932117,1855,2
32.5,242.49999999999997,0.17497846,1855,3
32.5,242.49999999999997,0.16593944,1855,4
32.5,242.49999999999997,0.12549977,1855,5
32.5,242.49999999999997,0.15539868,1855,6
32.5,242.49999999999997,0.1735576,1855,7
32.5,242.49999999999997,0.16835757,1855,8
32.5,242.49999999999997,0.172925,1855,9
32.5,242.49999999999997,0.17891987,1855,10
32.5,242.49999999999997,0.1828272,1855,11
32.5,242.49999999999997,0.18979096,1855,12
32.5,242.49999999999997,0.19450802,1856,1
32.5,242.49999999999997,0.18835646,1856,2
32.5,242.49999999999997,0.17792673,1856,3
32.5,242.49999999999997,0.17434685,1856,4
32.5,242.49999999999997,0.17400306,1856,5
32.5,242.49999999999997,0.16886508,1856,6
32.5,242.49999999999997,0.17865169,1856,7
32.5,242.49999999999997,0.17202099,1856,8
32.5,242.49999999999997,0.19531168,1856,9
32.5,242.49999999999997,0.21125984,1856,10
32.5,242.49999999999997,0.21014348,1856,11
32.5,242.49999999999997,0.20403013,1856,12
32.5,242.49999999999997,0.19927496,1857,1
32.5,242.49999999999997,0.20029771,1857,2
32.5,242.49999999999997,0.1900638,1857,3
32.5,242.49999999999997,0.16946411,1857,4
32.5,242.49999999999997,0.18242592,1857,5
32.5,242.49999999999997,0.19940086,1857,6
32.5,242.49999999999997,0.17506109,1857,7
32.5,242.49999999999997,0.1865608,1857,8
32.5,242.49999999999997,0.1970448,1857,9
32.5,242.49999999999997,0.19678628,1857,10
32.5,242.49999999999997,0.1734642,1857,11
32.5,242.49999999999997,0.15346724,1857,12
32.5,242.49999999999997,0.16086839,1858,1
32.5,242.49999999999997,0.1603778,1858,2
32.5,242.49999999999997,0.15266927,1858,3
32.5,242.49999999999997,0.14131887,1858,4
32.5,242.49999999999997,0.13626407,1858,5
32.5,242.49999999999997,0.15471424,1858,6
32.5,242.49999999999997,0.17864232,1858,7
32.5,242.49999999999997,0.17738283,1858,8
32.5,242.49999999999997,0.16681024,1858,9
32.5,242.49999999999997,0.18423203,1858,10
32.5,242.49999999999997,0.18920584,1858,11
32.5,242.49999999999997,0.20898587,1858,12
32.5,242.49999999999997,0.19166118,1859,1
32.5,242.49999999999997,0.19181442,1859,2
32.5,242.49999999999997,0.1770862,1859,3
32.5,242.49999999999997,0.17465995,1859,4
32.5,242.49999999999997,0.15783848,1859,5
32.5,242.49999999999997,0.16795239,1859,6
32.5,242.49999999999997,0.19554089,1859,7
32.5,242.49999999999997,0.19814977,1859,8
32.5,242.49999999999997,0.20523773,1859,9
32.5,242.49999999999997,0.22295754,1859,10
32.5,242.49999999999997,0.17525572,1859,11
32.5,242.49999999999997,0.16782862,1859,12
32.5,242.49999999999997,0.16548128,1860,1
32.5,242.49999999999997,0.17041983,1860,2
32.5,242.49999999999997,0.15579283,1860,3
32.5,242.49999999999997,0.17141064,1860,4
32.5,242.49999999999997,0.17408091,1860,5
32.5,242.49999999999997,0.18571806,1860,6
32.5,242.49999999999997,0.1874386,1860,7
32.5,242.49999999999997,0.20407812,1860,8
32.5,242.49999999999997,0.22042724,1860,9
32.5,242.49999999999997,0.21817681,1860,10
32.5,242.49999999999997,0.17515606,1860,11
32.5,242.49999999999997,0.15872748,1860,12
32.5,242.49999999999997,0.16138367,1861,1
32.5,242.49999999999997,0.15252832,1861,2
32.5,242.49999999999997,0.14600861,1861,3
32.5,242.49999999999997,0.12779555,1861,4
32.5,242.49999999999997,0.14789975,1861,5
32.5,242.49999999999997,0.16565362,1861,6
32.5,242.49999999999997,0.16334282,1861,7
32.5,242.49999999999997,0.16859733,1861,8
32.5,242.49999999999997,0.17266133,1861,9
32.5,242.49999999999997,0.18724796,1861,10
32.5,242.49999999999997,0.1547761,1861,11
32.5,242.49999999999997,0.13417065,1861,12
32.5,242.49999999999997,0.14846832,1862,1
32.5,242.49999999999997,0.14585924,1862,2
32.5,242.49999999999997,0.15171438,1862,3
32.5,242.49999999999997,0.13133328,1862,4
32.5,242.49999999999997,0.13146615,1862,5
32.5,242.49999999999997,0.15115747,1862,6
32.5,242.49999999999997,0.15472044,1862,7
32.5,242.49999999999997,0.1370371,1862,8
32.5,242.49999999999997,0.17294002,1862,9
32.5,242.49999999999997,0.17333955,1862,10
32.5,242.49999999999997,0.1919479,1862,11
32.5,242.49999999999997,0.181947,1862,12
32.5,242.49999999999997,0.14366828,1863,1
32.5,242.49999999999997,0.14775775,1863,2
32.5,242.49999999999997,0.15292543,1863,3
32.5,242.49999999999997,0.14799361,1863,4
32.5,242.49999999999997,0.14272591,1863,5
32.5,242.49999999999997,0.14257152,1863,6
32.5,242.49999999999997,0.16588402,1863,7
32.5,242.49999999999997,0.16853583,1863,8
32.5,242.49999999999997,0.17288767,1863,9
32.5,242.49999999999997,0.17892168,1863,10
32.5,242.49999999999997,0.18126203,1863,11
32.5,242.49999999999997,0.17839168,1863,12
32.5,242.49999999999997,0.16464192,1864,1
32.5,242.49999999999997,0.15271457,1864,2
32.5,242.49999999999997,0.14026299,1864,3
32.5,242.49999999999997,0.14971863,1864,4
32.5,242.49999999999997,0.13885683,1864,5
32.5,242.49999999999997,0.13677938,1864,6
32.5,242.49999999999997,0.17102194,1864,7
32.5,242.49999999999997,0.19529836,1864,8
32.5,242.49999999999997,0.23838642,1864,9
32.5,242.49999999999997,0.24414939,1864,10
32.5,242.49999999999997,0.22952722,1864,11
32.5,242.49999999999997,0.21525952,1864,12
32.5,242.49999999999997,0.22612827,1865,1
32.5,242.49999999999997,0.23383383,1865,2
32.5,242.49999999999997,0.20005187,1865,3
32.5,242.49999999999997,0.183224,1865,4
32.5,242.49999999999997,0.20029293,1865,5
32.5,242.49999999999997,0.18065722,1865,6
32.5,242.49999999999997,0.20484555,1865,7
32.5,242.49999999999997,0.24213813,1865,8
32.5,242.49999999999997,0.25777248,1865,9
32.5,242.49999999999997,0.2591722,1865,10
32.5,242.49999999999997,0.19687709,1865,11
32.5,242.49999999999997,0.21049747,1865,12
32.5,242.49999999999997,0.21682161,1866,1
32.5,242.49999999999997,0.22120869,1866,2
32.5,242.49999999999997,0.17682546,1866,3
32.5,242.49999999999997,0.15676558,1866,4
32.5,242.49999999999997,0.16607171,1866,5
32.5,242.49999999999997,0.17635395,1866,6
